timestamp,red,ir
17283129,83841,121435
17293129,83847,121447
17303129,83851,121440
17313129,83856,121443
17323129,83851,121445
17333129,83854,121439
17343129,83849,121451
17353129,83848,121451
17363129,83865,121455
17373129,83849,121450
17383129,83848,121445
17393129,83846,121451
17404129,83850,121445
17414129,83841,121449
17424129,83846,121445
17434129,83846,121473
17444129,83847,121464
17454129,83840,121480
17464129,83853,121470
17474129,83851,121491
17484129,83863,121489
17494129,83854,121493
17504129,83856,121474
17514129,83856,121439
17524129,83850,121437
17534129,83843,121426
17544129,83839,121408
17554129,83837,121398
17564129,83838,121383
17574129,83829,121382
17584129,83834,121395
17594129,83836,121388
17605129,83830,121383
17615129,83843,121393
17625129,83833,121414
17635129,83838,121427
17645129,83838,121433
17655129,83847,121437
17665129,83851,121432
17675129,83844,121444
17685129,83845,121461
17695129,83847,121452
17705129,83838,121456
17715129,83857,121469
17725129,83855,121469
17735129,83861,121459
17745129,83858,121455
17755129,83844,121452
17765129,83847,121459
17775129,83854,121431
17785129,83838,121424
17795129,83840,121416
17805129,83840,121433
17816129,83839,121428
17826129,83848,121422
17836129,83836,121439
17846129,83844,121452
17856129,83839,121440
17866129,83847,121456
17876129,83847,121451
17886129,83845,121472
17896129,83841,121470
17906129,83847,121462
17916129,83846,121484
17926129,83849,121468
17936129,83858,121473
17946129,83848,121470
17956129,83848,121500
17966129,83859,121487
17976129,83859,121488
17986129,83866,121497
17996129,83857,121516
18006129,83858,121507
18017129,83860,121518
18027129,83858,121507
18037129,83875,121523
18047129,83871,121537
18057129,83872,121542
18067129,83869,121553
18077129,83865,121553
18087129,83873,121547
18097129,83876,121568
18107129,83871,121565
18117129,83880,121566
18127129,83886,121547
18137129,83877,121538
18147129,83877,121519
18157129,83869,121496
18167129,83871,121485
18177129,83860,121451
18187129,83859,121433
18197129,83855,121428
18207129,83845,121423
18218129,83840,121438
18228129,83843,121414
18238129,83835,121430
18248129,83845,121435
18258129,83834,121436
18268129,83846,121427
18278129,83834,121444
18288129,83838,121451
18298129,83837,121450
18308129,83833,121460
18318129,83842,121454
18328129,83840,121459
18338129,83845,121465
18348129,83852,121450
18358129,83846,121466
18368129,83842,121466
18378129,83855,121437
18388129,83839,121447
18398129,83836,121434
18408129,83835,121440
18418129,83841,121433
18429129,83839,121435
18439129,83845,121459
18449129,83851,121439
18459129,83834,121453
18469129,83838,121462
18479129,83844,121454
18489129,83841,121476
18499129,83847,121483
18509129,83845,121489
18519129,83849,121481
18529129,83862,121497
18539129,83858,121489
18549129,83866,121478
18559129,83854,121496
18569129,83850,121485
18579129,83851,121481
18589129,83848,121473
18599129,83844,121473
18609129,83842,121478
18619129,83841,121469
18629129,83837,121476
18640129,83834,121472
18650129,83839,121450
18660129,83830,121464
18670129,83826,121466
18680129,83828,121460
18690129,83827,121462
18700129,83834,121473
18710129,83834,121503
18720129,83842,121511
18730129,83855,121508
18740129,83854,121503
18750129,83855,121490
18760129,83851,121484
18770129,83849,121476
18780129,83833,121455
18790129,83841,121440
18800129,83837,121430
18810129,83833,121419
18820129,83837,121413
18830129,83826,121411
18841129,83830,121415
18851129,83835,121413
18861129,83840,121411
18871129,83837,121427
18881129,83828,121425
18891129,83832,121432
18901129,83847,121421
18911129,83820,121424
18921129,83838,121439
18931129,83825,121442
18941129,83831,121430
18951129,83831,121431
18961129,83835,121446
18971129,83841,121428
18981129,83833,121441
18991129,83829,121434
19001129,83828,121430
19011129,83830,121420
19021129,83834,121407
19031129,83826,121411
19041129,83829,121402
19052129,83816,121381
