timestamp,red,ir
109143741,84584,124954
109153741,84582,124939
109163741,84583,124963
109173741,84578,124957
109183741,84574,124968
109193741,84592,124970
109203741,84593,124977
109213741,84603,124982
109223741,84604,124994
109233741,84604,124993
109243741,84594,124992
109253741,84603,124977
109263741,84594,124980
109273741,84604,124990
109283741,84607,125002
109293741,84606,124991
109303741,84596,124988
109314741,84599,125000
109324741,84601,124990
109334741,84594,125001
109344741,84604,125006
109354741,84593,125004
109364741,84593,125003
109374741,84599,125003
109384741,84605,125017
109394741,84595,125005
109404741,84595,125026
109414741,84608,125021
109424741,84613,125014
109434741,84613,125017
109444741,84607,125021
109454741,84603,125042
109464741,84614,125021
109474741,84606,125025
109484741,84608,125002
109494741,84606,125004
109504741,84589,125006
109515741,84594,124984
109525741,84597,124980
109535741,84586,124997
109545741,84579,124984
109555741,84576,124981
109565741,84579,124984
109575741,84595,124990
109585741,84582,124990
109595741,84591,124991
109605741,84586,125018
109615741,84587,125018
109625741,84599,125011
109635741,84597,125020
109645741,84601,125026
109655741,84596,125037
109665741,84592,125034
109675741,84603,125034
109685741,84593,125023
109695741,84597,125015
109705741,84579,125036
109715741,84597,125021
109726741,84577,125022
109736741,84589,125016
109746741,84579,125015
109756741,84578,125027
109766741,84572,125029
109776741,84571,125019
109786741,84581,125025
109796741,84580,125026
109806741,84579,125032
109816741,84578,125042
109826741,84586,125041
109836741,84586,125052
109846741,84588,125035
109856741,84589,125035
109866741,84587,125026
109876741,84578,125044
109886741,84574,125022
109896741,84577,125031
109906741,84564,125020
109916741,84576,125034
109926741,84572,125031
109937741,84575,125037
109947741,84564,125023
109957741,84569,125031
109967741,84561,125028
109977741,84564,125028
109987741,84562,125028
109997741,84569,125033
110007741,84566,125051
110017741,84573,125054
110027741,84582,125056
110037741,84573,125044
110047741,84573,125038
110057741,84567,125046
110067741,84566,125042
110077741,84568,125032
110087741,84561,125015
110097741,84570,125028
110107741,84559,125009
110117741,84561,125006
110127741,84554,125000
110138741,84557,124984
110148741,84548,124980
110158741,84543,124984
110168741,84539,124994
110178741,84543,124981
110188741,84550,124983
110198741,84534,124993
110208741,84549,124983
110218741,84540,124986
110228741,84544,125015
110238741,84548,125022
110248741,84553,125018
110258741,84551,125021
110268741,84556,125024
110278741,84559,125017
110288741,84550,125021
110298741,84562,125020
110308741,84550,124998
110318741,84556,125005
110328741,84544,125000
